Type,Id,Summary,Company,Product,First Approved (year),Week,Subsequent Approvals,Latency,Rejections (before first approval),Approved 1st time,Quarter,Rework Week,Rework Quarter,Rework Year,Adj Week,Adj Quarter,Adj Year
WU Design,CENPRO-27084,"Prod2 WU Design - DevFactory: Central Process: Engineering - SVP QC of SCRs - 27084",DevFactory,DevFactory,2022,17,0,32,0,Y,2,,,,17,2,2022
Code Level Cost Reduction,CENPRO-27216,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: Retype SQL Server Instances  - 27216",DevFactory,SaaS Central,2022,23,1,35,1,N,2,,,,23,2,2022
Functional Spec,CENPRO-27329,"Prod2 Functional Spec - Kayako: Kayako TNK: SEM and B/G for TNK - 27329",Think3,Kayako,2022,28,0,59,0,Y,3,,,,28,3,2022
Functional Spec,CENPRO-27330,"Prod2 Functional Spec - Kayako: Kayako TNK: Containerize Infrastructure - 27330",Think3,Kayako,2022,25,1,38,0,Y,2,,,,25,2,2022
WU Design,CENPRO-27205,"Prod2 WU Design - Central Engg: Central Process: E2 Milestone Design  - 27205",DevFactory,Central Engg,2022,18,2,7,0,Y,2,,,,18,2,2022
Rebuild,CENPRO-26522,"Prod2 Rebuild - InsideSales: Playbooks Telephony: Inbound call handling - 26522",Aurea Enterprise,InsideSales,2022,10,1,94,0,Y,1,30,3,2022,30,3,2022
Cost Optimization,CENPRO-27094,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - IO1/IO2 to GP3 - 27094",DevFactory,DevFactory,2022,18,0,38,0,Y,2,,,,18,2,2022
Change,CENPRO-15931,"Prod2 Change - Olive Software: Olive-DigitalEdition: New eEdition Access Controls - 15931",Ignite,Olive Software,2021,5,2,36,0,Y,1,20,2,2022,20,2,2022
Code Level Cost Reduction,CENPRO-26617,"Prod2 Code Level Cost Reduction - StreetSmart: StreetSmart: Reduce Google Maps Cost - 26617",Avolin,StreetSmart,2022,9,2,56,0,Y,1,27,3,2022,27,3,2022
Change,CENPRO-24648,"Prod2 Change - Northplains: Xinet: Xinet Scalability - 24648",Ignite,Northplains,2021,45,1,74,0,Y,4,14,2,2022,14,2,2022
New,CENPRO-26695,"Prod2 New - Crossover: XO.HireManage: Language : Skills & Badges - 26695",Crossover,Crossover,2022,30,0,196,3,N,3,,,,30,3,2022
WU Design,CENPRO-27226,"Prod2 WU Design - DevFactory: Central Process: CloudFix FF - Build Runbook Templates - 27226",DevFactory,DevFactory,2022,30,0,85,0,Y,3,,,,30,3,2022
WU Design,CENPRO-27215,"Prod2 WU Design - DevFactory: Central Process: Milestone Implementation - 27215",DevFactory,DevFactory,2022,30,0,87,0,Y,3,,,,30,3,2022
WU Design,CENPRO-27227,"Prod2 WU Design - DevFactory: Central Process: CloudFix FF - Build Runbook Methods - 27227",DevFactory,DevFactory,2022,30,0,85,0,Y,3,,,,30,3,2022
WU Design,CENPRO-27511,"Prod2 WU Design - DevFactory: Central Process: FS - API Testing - 27511",DevFactory,DevFactory,2022,26,1,9,0,Y,2,,,,26,2,2022
New,CENPRO-27476,"Prod2 New - DevFactory: Central Process: TPM Internal Tools Development - 27476",DevFactory,DevFactory,2022,30,0,43,0,Y,3,,,,30,3,2022
WU Design,CENPRO-27224,"Prod2 WU Design - DevFactory: Central Process: CloudFix FF - Build CUR Query - 27224",DevFactory,DevFactory,2022,30,0,85,0,Y,3,,,,30,3,2022
Code Level Cost Reduction,CENPRO-26484,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: SaaS Cost - Google Workspace - 26484",DevFactory,SaaS Central,2022,4,2,70,0,Y,1,22,2,2022,22,2,2022
Rebuild,CENPRO-23124,"Prod2 Rebuild - Crossover: XO.HireManage: 5K for Online Proctoring - 23124",DevFactory,Crossover,2022,6,1,199,0,Y,1,,,,6,1,2022
Cost Reduction,CENPRO-27405,"Prod2 Cost Reduction - AES: Other: AES - 27405",Aurea Enterprise,AES,2022,27,0,34,0,Y,3,,,,27,3,2022
Cost Optimization,CENPRO-27039,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - CloudFront Turn on Compression - 27039",DevFactory,DevFactory,2022,14,0,20,0,Y,2,,,,14,2,2022
Technical Teardown,CENPRO-27138,"Prod2 Technical Teardown - Crossover: Other: Crossover Operations - 27138",Crossover,Crossover,2022,29,0,101,1,N,3,,,,29,3,2022
Change,CENPRO-15751,"Prod2 Change - Kerio: Control: VPN client macOS System Extensions - 15751",Aurea SMB,Kerio,2021,2,1,20,0,Y,1,16,2,2022,16,2,2022
Code Level Cost Reduction,CENPRO-27380,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: Consolidate Agemni self-hosted databases to Central - 27380",DevFactory,SaaS Central,2022,27,0,41,0,Y,3,,,,27,3,2022
Technical Teardown,CENPRO-27201,"Prod2 Technical Teardown - DevFactory: Education Platform: Subject - 27201",DevFactory,DevFactory,2022,29,0,86,1,N,3,,,,29,3,2022
Technical Teardown,CENPRO-27562,"Prod2 Technical Teardown - DevFactory: Education Platform: Accelerated Reader - 27562",DevFactory,DevFactory,2022,29,0,24,0,Y,3,,,,29,3,2022
New,CENPRO-27024,"Prod2 New - DF 3rd Party: Cloud Charging and Billing: Tenant Management and Operations - Wave 1 - 27024",DevFactory,DF 3rd Party,2022,21,3,78,0,Y,2,,,,21,2,2022
Code Level Cost Reduction,CENPRO-27384,"Prod2 Code Level Cost Reduction - SaaS Central: SaaS Central: Consolidate remaining self-hosted databases to Central - 27384",DevFactory,SaaS Central,2022,27,0,41,0,Y,3,,,,27,3,2022
Code Level Cost Reduction,CENPRO-26483,"Prod2 Code Level Cost Reduction - Central Engg: Central Process: AWS Cost Controls - 26483",DevFactory,Central Engg,2021,47,1,10,0,Y,4,28,3,2022,28,3,2022
Cost Optimization,CENPRO-27097,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - Non-ASG Intel to AMD - 27097",DevFactory,DevFactory,2022,17,0,30,0,Y,2,,,,17,2,2022
New,CENPRO-13298,"Prod2 New - Mobilogy: Mobilogy: Telco Branded iCloud - 13298",ZephyrTel,Mobilogy,2021,1,0,95,0,Y,1,,,,1,1,2021
New,CENPRO-11005,"Prod2 New - ZephyrTel: Other: SMSF MVP - 11005",ZephyrTel,ZephyrTel,2020,25,1,7,0,Y,2,20,2,2022,20,2,2022
Functional Spec,CENPRO-27333,"Prod2 Functional Spec - DF 3rd Party: Cloud Charging and Billing: Simplify Charging Flow - 27333",DevFactory,DF 3rd Party,2022,29,0,63,0,Y,3,,,,29,3,2022
Technical Teardown,CENPRO-27621,"Prod2 Technical Teardown - Imports: Other: Noetica Platform - 27621",Imports,Imports,2022,29,0,9,0,Y,3,,,,29,3,2022
Rebuild,CENPRO-27041,"Prod2 Rebuild - CNU: CloudFix: CloudFix Onboarding - 27041",DevFactory,CNU,2022,20,1,62,0,Y,2,,,,20,2,2022
Cost Optimization,CENPRO-27037,"CO1 Cost Optimization - DevFactory: Cost Optimization Product: CO1 - EFS Infrequent Access - 27037",DevFactory,DevFactory,2022,12,0,8,0,Y,1,,,,12,1,2022
Change,CENPRO-982,"Prod2 Change - DNN: Liquid Content: Migrate to DNN Platform and deploy locally [774] - 982",Ignite,DNN,2019,31,1,226,0,Y,3,39,3,2020,39,3,2020
Cost Reduction,CENPRO-9227,"Prod2 Cost Reduction - DNN: DNN: DNN Cost Reduction - 9227",Ignite,DNN,2020,37,1,187,0,Y,3,52,4,2020,52,4,2020
Change,CENPRO-3968,"Prod2 Change - DNN: Evoq Basic, Evoq Content, Evoq Engage: Make DNN the Wordpress clone  - 3968",Ignite,DNN,2019,28,0,84,0,Y,3,,,,28,3,2019
Rebuild,CENPRO-11171,"Prod2 Rebuild - DNN: DNN: .net Core Rebuild - 11171",Ignite,DNN,2020,41,1,108,0,Y,4,,,,41,4,2020
Change,CENPRO-4448,"Prod2 Change - DNN: Evoq Basic, Evoq Content, Evoq Engage: Import Wordpress themes and plugins in DNN - 4448",Ignite,DNN,2019,28,0,56,0,Y,3,,,,28,3,2019
